公告,#genre#
更新日期,http://live.nctv.top/huya.php?id=11342412
2026-03-29,http://tc-tct.douyucdn2.cn/dyliveflv1a/1863767rkpl2_2000p.m3u8?wsAuth=e06e8fc59b6e23439332b7caf1b2687d&token=cpn-androidmpro-0-1863767-7b520f6fe0a2b18d8fe12b672922635bfc8c2d455179f350&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2
📡  央视频道,#genre#
CCTV1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8$LR•IPV4『线路1』
CCTV1,http://play.kankanlive.com/live/1661761962676984.m3u8$LR•IPV4『线路2』
CCTV1,http://183.11.239.36:808/hls/19/index.m3u8$LR•IPV4『线路3』
CCTV1,http://120.76.248.139/live/bfgd/4200000484.m3u8$LR•IPV4『线路4』
CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8$LR•IPV4『线路5』
CCTV1,http://120.211.62.180:8000/hls/1/index.m3u8$LR•IPV4『线路6』
CCTV1,http://23.237.228.134/live5/CCTV1.m3u8$LR•IPV4『线路7』
CCTV1,http://120.238.94.10:9901/tsfile/live/1018_1.m3u8$LR•IPV4『线路8』
CCTV1,http://112.46.85.60:8009/hls/501/index.m3u8$LR•IPV4『线路9』
CCTV2,http://58.57.40.22:9901/tsfile/live/1001_1.m3u8$LR•IPV4『线路1』
CCTV2,http://183.11.239.36:808/hls/20/index.m3u8$LR•IPV4『线路2』
CCTV2,http://120.76.248.139/live/bfgd/4200000061.m3u8$LR•IPV4『线路3』
CCTV2,http://112.46.85.60:8009/hls/502/index.m3u8$LR•IPV4『线路4』
CCTV2,https://piccpndali.v.myalicdn.com/audio/cctv2_2.m3u8$LR•IPV4『线路5』
CCTV2,http://120.211.62.180:8000/hls/2/index.m3u8$LR•IPV4『线路6』
CCTV2,http://23.237.228.134/live5/CCTV2.m3u8$LR•IPV4『线路7』
CCTV2,http://27.41.245.32:801/hls/2/index.m3u8$LR•IPV4『线路8』
CCTV2,http://112.123.206.32:808/hls/2/index.m3u8$LR•IPV4『线路9』
CCTV2,http://120.238.94.10:9901/tsfile/live/1019_1.m3u8$LR•IPV4『线路10』
CCTV3,http://58.57.40.22:9901/tsfile/live/1002_1.m3u8$LR•IPV4『线路1』
CCTV3,http://39.152.103.17:8089/tsfile/live/1002_1.m3u8$LR•IPV4『线路2』
CCTV3,http://gmxw.7766.org:808/hls/91/index.m3u8$LR•IPV4『线路3』
CCTV3,http://183.11.239.36:808/hls/91/index.m3u8$LR•IPV4『线路4』
CCTV3,http://120.76.248.139/live/bfgd/4200000062.m3u8$LR•IPV4『线路5』
